SubID,Include,Exclusion_reason,Counting,Task,Trial,response,scorenotes,accuracy
BABSYN408,1,NA,yes,Backward,8to4,"8, 7, 6, 5, 4",Counted all #'s in correct order,1
BABSYN408,1,NA,yes,Forward,18to21,"18, 81, 82, 83",NA,0
BABSYN408,1,NA,yes,Forward,21to24,"21, 22, 23, 24",Counted all #'s in correct order,1
BABSYN408,1,NA,yes,Forward,35to39,"35, 36, 37, 38, 39",Counted all #'s in correct order,1
BABSYN408,1,NA,yes,Forward,4to9,"4, 5, 6, 7, 8, 9",Counted all #'s in correct order,1
BABSYN408,1,NA,yes,Forward,5to7,"5, 6, 7",Counted all #'s in correct order,1
BABSYN408,1,NA,yes,Forward,6to12,"6, 7, 8, 9, 10, 11, 12",Counted all #'s in correct order,1
BABSYN408,1,NA,yes,next,target23,24,NA,1
BABSYN408,1,NA,yes,next,target29,26,NA,0
BABSYN408,1,NA,yes,next,target37,38,NA,1
BABSYN408,1,NA,yes,next,target40,41,NA,1
BABSYN408,1,NA,yes,next,target59,50,NA,0
BABSYN408,1,NA,yes,next,target62,61,NA,0
BABSYN408,1,NA,yes,next,target70,71,NA,1
BABSYN408,1,NA,yes,next,target86,87,NA,1
BABSYN408,1,NA,yes,skip,by10s,"10, 20, 21, 30, 1 and a half",NA,0
BABSYN408,1,NA,yes,skip,by2s,"2, 4, 2 and a half, 2 and 7",NA,0
BABSYN408,1,NA,yes,skip,by5s,"5, 10, 11, 13, 2 and a half",NA,0
BABSYN409,1,NA,yes,Backward,13to9,"13, 12, 18, 13",NA,0
BABSYN409,1,NA,yes,Backward,18to14,"18, 17, 19, 40, 41",NA,0
BABSYN409,1,NA,yes,Backward,26to22,"26, 25, 28, 29, 25",NA,0
BABSYN409,1,NA,yes,Backward,5to1,"5, 4, 6, 7, 8",NA,0
BABSYN409,1,NA,yes,Backward,7to3,"7, 6, 8, 9, 10",NA,0
BABSYN409,1,NA,yes,Backward,8to4,"8, 7, 9, 11, 12",NA,0
BABSYN409,1,NA,yes,Forward,18to21,"18, 3, 4, 5",NA,0
BABSYN409,1,NA,yes,Forward,21to24,"21, 5, 6, 7, 8",NA,0
BABSYN409,1,NA,yes,Forward,35to39,"35, 8, 9, 10, 11",NA,0
BABSYN409,1,NA,yes,Forward,4to9,"4, 5, 6, 7, 8, 9",Counted all #'s in correct order,1
BABSYN409,1,NA,yes,Forward,5to7,"5, 2, 3",NA,0
BABSYN409,1,NA,yes,Forward,6to12,"8, 9, 10",NA,0
BABSYN409,1,NA,yes,next,target23,24,NA,1
BABSYN409,1,NA,yes,next,target29,8,NA,0
BABSYN409,1,NA,yes,next,target37,8,NA,0
BABSYN409,1,NA,yes,next,target40,42,NA,0
BABSYN409,1,NA,yes,next,target59,10,NA,0
BABSYN409,1,NA,yes,next,target62,63,NA,1
BABSYN409,1,NA,yes,next,target70,80,NA,0
